player_id,username,nome,titulo,avatar,url,seguidores,pais,data_entrada,status,is_streamer,verificado,origem
26352834,berardino,Diego Berardino,IM,https://images.chesscomfiles.com/uploads/v1/user/26352834.823a8d50.200x200o.4c32f681357e.png,https://www.chess.com/member/Berardino,2449,BR,2016-01-26,premium,False,False,chess.com
23579934,reader777,Read Samadov,IM,https://images.chesscomfiles.com/uploads/v1/user/23579934.435e3768.200x200o.3916fc4666f3.jpeg,https://www.chess.com/member/Reader777,168,AZ,2015-08-08,premium,False,False,chess.com
49308476,szparu,Miłosz Szpar,GM,https://images.chesscomfiles.com/uploads/v1/user/49308476.f296b7aa.200x200o.5f2c2dc46ff8.png,https://www.chess.com/member/Szparu,888,PL,2018-08-31,premium,True,False,chess.com
406113149,liindseeyy,,,https://images.chesscomfiles.com/uploads/v1/user/406113149.2170f75d.200x200o.b61089e9b7f4.png,https://www.chess.com/member/Liindseeyy,38,FR,2024-11-30,basic,False,False,chess.com
1784023,kacparov,Kacper Drozdowski,IM,https://images.chesscomfiles.com/uploads/v1/user/1784023.7763d589.200x200o.5bc4233aef8a.jpeg,https://www.chess.com/member/Kacparov,6211,PL,2009-02-23,premium,False,False,chess.com
30494226,amintabatabaei,Amin Tabatabaei,GM,https://images.chesscomfiles.com/uploads/v1/user/30494226.99d3ab53.200x200o.59863e92ff4b.jpg,https://www.chess.com/member/amintabatabaei,1746,IR,2016-10-20,premium,False,False,chess.com
157440329,aoitsukibluemoon,Wang Hao,GM,https://images.chesscomfiles.com/uploads/v1/user/157440329.5a7d3617.200x200o.e72d8642a1e2.jpeg,https://www.chess.com/member/Aoitsukibluemoon,119,JP,2021-10-09,premium,False,False,chess.com
3958391,gmbenjaminbok,Benjamin Bok,GM,https://images.chesscomfiles.com/uploads/v1/user/3958391.1ca1273c.200x200o.b3509401e9cf.jpeg,https://www.chess.com/member/GMBenjaminBok,21713,NL,2010-09-10,premium,True,False,chess.com
70572670,deechess123,,,,https://www.chess.com/member/deechess123,30,IN,2020-01-10,basic,False,False,chess.com
152868735,wqws,Kaivalya Sandip Nagare,FM,,https://www.chess.com/member/wqws,88,IN,2021-08-30,premium,False,False,chess.com
11511066,elefante33,Felipe El Debs,GM,https://images.chesscomfiles.com/uploads/v1/user/11511066.cf78393c.200x200o.0eca23131651.jpeg,https://www.chess.com/member/elefante33,2134,BR,2013-04-13,premium,False,False,chess.com
28234198,sargsyan_shant,Shant Sargsyan,GM,https://images.chesscomfiles.com/uploads/v1/user/28234198.2be8ab34.200x200o.3b8860366115.jpg,https://www.chess.com/member/Sargsyan_Shant,116,AM,2016-05-17,premium,False,False,chess.com
75631914,sahibsinghknight,Sahib Singh,IM,https://images.chesscomfiles.com/uploads/v1/user/75631914.86abd2d6.200x200o.bb1d3fdf5ae3.jpeg,https://www.chess.com/member/SahibSinghKnight,511,IN,2020-04-04,premium,False,False,chess.com
23879414,gmalmeida,Omar Almeida Quintana,GM,https://images.chesscomfiles.com/uploads/v1/user/23879414.86119a71.200x200o.f0aefd0cdba5.jpeg,https://www.chess.com/member/GMALMEIDA,121,CU,2015-08-29,premium,False,False,chess.com
26735280,astralpulse,Alex Goldin,GM,,https://www.chess.com/member/astralpulse,142,US,2016-02-15,premium,False,False,chess.com
37419240,elnur_mehtiyev,Elnur Mehtiyev,,https://images.chesscomfiles.com/uploads/v1/user/37419240.ddb20430.200x200o.9ef5aa0acf0d.jpeg,https://www.chess.com/member/Elnur_Mehtiyev,63,AZ,2017-07-30,basic,False,False,chess.com
371633593,kazuko-chan,Luna (Xiaowen) Cao,,https://images.chesscomfiles.com/uploads/v1/user/371633593.ab013513.200x200o.17b51e0c3cf1.jpg,https://www.chess.com/member/kazuko-chan,430,JP,2024-06-24,basic,False,False,chess.com
188604399,foxontherun97,Ondrej Toman,FM,https://images.chesscomfiles.com/uploads/v1/user/188604399.620a4674.200x200o.15cdb8840dad.jpg,https://www.chess.com/member/FoxOnTheRun97,125,CZ,2022-07-01,premium,False,False,chess.com
55969800,chessmatenokk17,Sergey And. Korshunov,FM,https://images.chesscomfiles.com/uploads/v1/user/55969800.3d2a6fa7.200x200o.090a119c7062.jpg,https://www.chess.com/member/Chessmatenokk17,59,RU,2019-01-14,premium,False,False,chess.com
2295334,grandmastergauri,Gauri Shankar,IM,https://images.chesscomfiles.com/uploads/v1/user/2295334.73f7eb58.200x200o.84b80eedfc9c.jpeg,https://www.chess.com/member/grandmastergauri,726,US,2009-11-12,premium,False,False,chess.com
3978224,zenzo,Armen Proudian,FM,https://images.chesscomfiles.com/uploads/v1/user/3978224.bf373225.200x200o.138451b06615.jpeg,https://www.chess.com/member/Zenzo,657,BR,2010-09-14,premium,False,False,chess.com
65338422,dual_flurry,Jerad Docena,IM,,https://www.chess.com/member/dual_flurry,135,PH,2019-09-10,premium,False,False,chess.com
502840905,d6stronk,Bartosz Przybylski,FM,https://images.chesscomfiles.com/uploads/v1/user/502840905.bf5010c2.200x200o.7adab6d63fa2.jpg,https://www.chess.com/member/d6stronk,19,PL,2025-11-21,premium,False,False,chess.com
4083321,tapuah,Ilya Smirin,GM,https://images.chesscomfiles.com/uploads/v1/user/4083321.a05d5ef2.200x200o.3f6dddd743a7.jpeg,https://www.chess.com/member/Tapuah,5159,IL,2010-10-06,premium,False,False,chess.com
58985560,hamelekh,eyal deutsch,IM,https://images.chesscomfiles.com/uploads/v1/user/58985560.00f4fb26.200x200o.9e72cbfd6825.jpeg,https://www.chess.com/member/hamelekh,118,IL,2019-03-25,premium,False,False,chess.com
440178829,svr_2100khmym2k,,,,https://www.chess.com/member/SVR_2100KHMYM2K,1,ES,2025-03-27,basic,False,False,chess.com
1973757,sanyi9,Sanyi,,,https://www.chess.com/member/Sanyi9,37,HU,2009-06-14,premium,False,False,chess.com
490664473,fernanjoel111762,,,,https://www.chess.com/member/fernanjoel111762,4,PH,2025-10-09,basic,False,False,chess.com
55667092,wotgenie,Marcel Petersen,CM,https://images.chesscomfiles.com/uploads/v1/user/55667092.b3eb0462.200x200o.59bd3d605004.jpeg,https://www.chess.com/member/Wotgenie,75,DE,2019-01-08,premium,False,False,chess.com
66246790,liamputnam2008,Liam Putnam,IM,https://images.chesscomfiles.com/uploads/v1/user/66246790.01e0ba2c.200x200o.fdaa257a68fe.jpg,https://www.chess.com/member/LiamPutnam2008,3301,US,2019-10-03,premium,False,False,chess.com
342500227,ntphuc1122,,,https://images.chesscomfiles.com/uploads/v1/user/342500227.1aea4f3c.200x200o.ad1f6c0fa53a.jpg,https://www.chess.com/member/ntphuc1122,206,VN,2024-02-01,premium,False,False,chess.com
109315520,alexboy14,Oleksii Nakonechnyi,CM,https://images.chesscomfiles.com/uploads/v1/user/109315520.e768e154.200x200o.3d2e3ad62eb8.jpg,https://www.chess.com/member/alexboy14,21,UA,2021-01-03,premium,False,False,chess.com
8879438,djamir,Amir Hossein Jamshidi,FM,https://images.chesscomfiles.com/uploads/v1/user/8879438.7df319de.200x200o.736313554603.jpeg,https://www.chess.com/member/djamir,701,IR,2012-09-12,premium,False,False,chess.com
465636602,arkadiikhromaev,,,https://images.chesscomfiles.com/uploads/v1/user/465636602.a1090b7d.200x200o.ebd78ec3ca88.jpg,https://www.chess.com/member/ArkadiiKhromaev,145,XO,2025-07-09,premium,False,False,chess.com
156574447,shadowking71,James Chirilov,FM,https://images.chesscomfiles.com/uploads/v1/user/156574447.3a5f84aa.200x200o.5df91856bab9.png,https://www.chess.com/member/ShadowKing71,934,AG,2021-10-01,premium,True,False,chess.com
490142287,qopy01,,,https://images.chesscomfiles.com/uploads/v1/user/490142287.af8e235e.200x200o.8ed55c71d382.jpg,https://www.chess.com/member/Qopy01,19,TR,2025-10-07,premium,False,False,chess.com
147561215,badfarma07,,,https://images.chesscomfiles.com/uploads/v1/user/147561215.20520474.200x200o.5d31537919a3.jpg,https://www.chess.com/member/Badfarma07,277,US,2021-07-11,premium,False,False,chess.com
8344034,penguingm1,Andrew Tang,GM,https://images.chesscomfiles.com/uploads/v1/user/8344034.afe06124.200x200o.bcc27fc3d0b3.gif,https://www.chess.com/member/penguingm1,9912,US,2012-07-27,premium,False,False,chess.com
2555939,chessbrah,Chessbrah TV,GM,https://images.chesscomfiles.com/uploads/v1/user/2555939.974bf39b.200x200o.b79b105ffb0e.png,https://www.chess.com/member/ChessBrah,25828,CA,2010-02-16,premium,True,False,chess.com
26867272,jospem,Jose Martinez,GM,https://images.chesscomfiles.com/uploads/v1/user/26867272.0496c4fd.200x200o.89ccc5145ecc.jpg,https://www.chess.com/member/Jospem,33329,MX,2016-02-22,premium,True,False,chess.com
26572336,zhigalko_sergei,Sergei Zhigalko,GM,https://images.chesscomfiles.com/uploads/v1/user/26572336.93bb4ad6.200x200o.baa9688f1b6f.jpeg,https://www.chess.com/member/Zhigalko_Sergei,2090,XX,2016-02-07,premium,False,False,chess.com
28168290,oleksandr_bortnyk,Oleksandr Bortnyk,GM,https://images.chesscomfiles.com/uploads/v1/user/28168290.451f25f9.200x200o.8f240686cf4e.jpg,https://www.chess.com/member/Oleksandr_Bortnyk,14269,US,2016-05-13,premium,True,False,chess.com
302890559,boburjon314159,,,https://images.chesscomfiles.com/uploads/v1/user/302890559.825945ee.200x200o.742a33d9e87c.jpg,https://www.chess.com/member/Boburjon314159,50,NO,2023-07-30,basic,False,False,chess.com
69197334,riley,KJ Honey,,https://images.chesscomfiles.com/uploads/v1/user/69197334.45ea7a13.200x200o.cf7a49b01af2.jpg,https://www.chess.com/member/Riley,6164,BR,2019-12-11,premium,False,False,chess.com
73320100,0gzpanda,Anthony He,IM,https://images.chesscomfiles.com/uploads/v1/user/73320100.1d4e560c.200x200o.b8fd2b3db995.png,https://www.chess.com/member/0gZPanda,586,US,2020-03-10,premium,False,False,chess.com
34493616,blackmind96,Amir Mohammad Hamidi,FM,https://images.chesscomfiles.com/uploads/v1/user/34493616.3fd976d8.200x200o.259d0bda56c5.jpeg,https://www.chess.com/member/Blackmind96,6978,IR,2017-04-03,premium,False,False,chess.com
301895675,theystolemysanity,,,,https://www.chess.com/member/TheyStoleMySanity,7,XX,2023-07-25,basic,False,False,chess.com
21261922,miterryble,Renato Terry,IM,,https://www.chess.com/member/MITerryble,5747,XX,2015-02-25,premium,True,False,chess.com
43499854,tactic,Kent Slate,NM,https://images.chesscomfiles.com/uploads/v1/user/43499854.e7c64b0e.200x200o.3eaa576c08c3.webp,https://www.chess.com/member/tactic,702,XX,2018-02-19,premium,False,False,chess.com
47092728,mitrabhaa,Mitrabha Guha,GM,https://images.chesscomfiles.com/uploads/v1/user/47092728.33d4b6ed.200x200o.e21b735a39a2.jpeg,https://www.chess.com/member/mitrabhaa,1726,IN,2018-06-14,premium,True,False,chess.com
37620822,judenyc,Jude Dude,,https://images.chesscomfiles.com/uploads/v1/user/37620822.67352eda.200x200o.4c2a60f9db2d.jpg,https://www.chess.com/member/judenyc,553,NO,2017-08-07,premium,False,False,chess.com
158597961,elfangm2,Elbert Fang,NM,https://images.chesscomfiles.com/uploads/v1/user/158597961.406ead1e.200x200o.f3002dd4baf2.webp,https://www.chess.com/member/Elfangm2,203,US,2021-10-20,premium,False,False,chess.com
51814804,wk_willianhille,Willian Henrique Hille,NM,https://images.chesscomfiles.com/uploads/v1/user/51814804.220a2601.200x200o.655b1852060d.jpg,https://www.chess.com/member/WK_WillianHille,2031,BR,2018-11-13,premium,False,False,chess.com
5081249,littleplotkin,Mark Plotkin,IM,https://images.chesscomfiles.com/uploads/v1/user/5081249.6e61c86a.200x200o.5b315cc56f53.jpeg,https://www.chess.com/member/littleplotkin,1493,CA,2011-05-05,premium,False,False,chess.com
48765560,kingofthenil,Mahel Boyer,GM,https://images.chesscomfiles.com/uploads/v1/user/48765560.81ea3488.200x200o.2a3526585307.webp,https://www.chess.com/member/kingofthenil,291,FR,2018-08-14,premium,False,False,chess.com
47102936,yavrukurt40,Dincer Tasdogen,FM,,https://www.chess.com/member/yavrukurt40,249,TR,2018-06-14,premium,False,False,chess.com
341886071,worriedegg,Aaron Jacobson,IM,,https://www.chess.com/member/WorriedEgg,108,US,2024-01-29,premium,False,False,chess.com
22639240,platy3,Alan Pichot,GM,https://images.chesscomfiles.com/uploads/v1/user/22639240.1da8984e.200x200o.b0b696b8f6da.jpg,https://www.chess.com/member/platy3,2788,ES,2015-06-01,premium,False,False,chess.com
23583280,bocah_sakit,Novendra Priasmoro,GM,https://images.chesscomfiles.com/uploads/v1/user/23583280.893f9b8e.200x200o.44731b8321f9.jpeg,https://www.chess.com/member/bocah_sakit,626,ID,2015-08-08,premium,False,False,chess.com
55213504,dolphin_2010,Aleksandr Usov,FM,,https://www.chess.com/member/Dolphin_2010,33,RU,2018-12-28,premium,False,False,chess.com
