player_id,modalidade,data_referencia,posicao,rating,vitorias,derrotas,empates
15448422,bullet,2026-01-19,3,3377,16123,2270,1051
156574447,bullet,2026-01-19,4,3327,4686,4849,748
42022994,bullet,2026-01-19,5,3309,12179,7773,1428
490142287,bullet,2026-01-19,6,3288,2491,1127,67
50386860,bullet,2026-01-19,7,3277,4753,2056,459
147561215,bullet,2026-01-19,8,3262,2165,1312,201
8344034,bullet,2026-01-19,9,3259,22877,10584,1695
66246790,bullet,2026-01-19,10,3258,8456,6338,1041
7195919,bullet,2026-01-19,11,3238,15762,7826,1969
8829034,bullet,2026-01-19,12,3227,2964,1215,297
2555939,bullet,2026-01-19,13,3221,13158,4136,628
34145346,bullet,2026-01-19,14,3218,1148,736,179
26867272,bullet,2026-01-19,15,3211,83453,16021,1334
26572336,bullet,2026-01-19,16,3209,11456,6200,1055
28168290,bullet,2026-01-19,17,3208,22113,9058,1987
302890559,bullet,2026-01-19,18,3206,2829,2901,243
69197334,bullet,2026-01-19,19,3205,17331,14304,1731
44760408,bullet,2026-01-19,20,3204,1781,1032,207
28692936,bullet,2026-01-19,21,3203,3254,2904,423
16938404,bullet,2026-01-19,22,3194,21325,16482,2993
11474230,bullet,2026-01-19,23,3192,1323,639,160
73320100,bullet,2026-01-19,24,3184,8335,7569,1291
34493616,bullet,2026-01-19,25,3181,15417,13672,2199
301895675,bullet,2026-01-19,26,3176,737,702,96
21261922,bullet,2026-01-19,27,3173,15220,5724,1374
43499854,bullet,2026-01-19,28,3167,28384,18310,2229
330779979,bullet,2026-01-19,29,3161,180,66,18
47092728,bullet,2026-01-19,30,3160,5124,3904,523
49788594,bullet,2026-01-19,31,3156,1353,910,138
3889224,bullet,2026-01-19,32,3150,1378,455,208
37620822,bullet,2026-01-19,33,3150,6150,6855,671
6083387,bullet,2026-01-19,34,3149,26294,17361,2240
158597961,bullet,2026-01-19,35,3148,4994,4148,551
51814804,bullet,2026-01-19,36,3147,4470,3559,397
21232844,bullet,2026-01-19,37,3145,12336,4508,1197
69192934,bullet,2026-01-19,38,3142,3035,1127,491
5081249,bullet,2026-01-19,39,3142,3332,2592,235
48765560,bullet,2026-01-19,40,3140,5838,5075,562
30366824,bullet,2026-01-19,41,3140,1037,484,201
47102936,bullet,2026-01-19,42,3138,4012,2409,469
30494226,bullet,2026-01-19,43,3136,3180,3073,486
55724226,bullet,2026-01-19,44,3125,5934,6147,697
341886071,bullet,2026-01-19,45,3125,3268,2233,288
22639240,bullet,2026-01-19,46,3125,5834,3925,817
88920388,bullet,2026-01-19,47,3120,1694,1213,176
23583280,bullet,2026-01-19,48,3120,6617,5363,860
429108043,bullet,2026-01-19,49,3118,1085,545,92
55213504,bullet,2026-01-19,50,3117,947,478,67
