enxadrista_id,player_id,username,nome,titulo,pais,avatar,seguidores,data_entrada,status,is_streamer,verificado,fide_id,federacao_fide,ano_nascimento,sexo,titulo_fide,rating_fide_standard,jogos_fide_standard,rating_fide_rapid,jogos_fide_rapid,rating_fide_blitz,jogos_fide_blitz,origem
37,26897402,levonaronian,Levon Aronian,GM,US,https://images.chesscomfiles.com/uploads/v1/user/26897402.07482c01.200x200o.aafdac4f4570.jpeg,6501,1456282528,premium,False,False,,,,,,,,,,,,chess.com
38,21232844,msb2,Matthias Bluebaum,GM,DE,,1302,1424713872,premium,False,False,,,,,,,,,,,,chess.com
39,69192934,dropstonedp,David Paravyan,GM,RU,https://images.chesscomfiles.com/uploads/v1/user/69192934.19df0418.200x200o.5839b2717eb5.jpeg,934,1576081689,premium,False,False,,,,,,,,,,,,chess.com
40,20718020,ghandeevam2003,Arjun Erigaisi,GM,IN,https://images.chesscomfiles.com/uploads/v1/user/20718020.b93b0dad.200x200o.ce63c2b5ea24.jpeg,5511,1421783344,premium,False,False,,,,,,,,,,,,chess.com
41,137706882,baku_boulevard,Rauf Mamedov,GM,UA,https://images.chesscomfiles.com/uploads/v1/user/137706882.0ca988e2.200x200o.e0649ae91b4c.jpeg,597,1619594485,premium,False,False,,,,,,,,,,,,chess.com
42,43194690,vincentkeymer,Vincent Keymer,GM,DE,https://images.chesscomfiles.com/uploads/v1/user/43194690.01e2e420.200x200o.5b2983036718.jpeg,3678,1518259553,premium,False,False,,,,,,,,,,,,chess.com
43,10767030,andreikka,Andrey Esipenko,GM,RU,https://images.chesscomfiles.com/uploads/v1/user/10767030.b20746db.200x200o.6172f1b0095c.jpg,3349,1360502176,premium,False,False,,,,,,,,,,,,chess.com
44,39249762,volodar_murzin,Volodar Murzin,GM,XX,https://images.chesscomfiles.com/uploads/v1/user/39249762.7e30c1dc.200x200o.a41083f165a5.jpeg,569,1507376415,premium,False,False,,,,,,,,,,,,chess.com
45,80994690,faustinooro,Faustino Oro,IM,AR,https://images.chesscomfiles.com/uploads/v1/user/80994690.b4cf9a71.200x200o.14ae099ead7c.jpg,7046,1590874408,premium,False,False,,,,,,,,,,,,chess.com
46,30494226,amintabatabaei,Amin Tabatabaei,GM,IR,https://images.chesscomfiles.com/uploads/v1/user/30494226.99d3ab53.200x200o.59863e92ff4b.jpg,1742,1476970017,premium,False,False,,,,,,,,,,,,chess.com
47,30887540,bogdandeac,Bogdan Daniel Deac,GM,RO,,4769,1479032100,premium,False,False,,,,,,,,,,,,chess.com
48,44760408,chessfighter_2011,Dau Khuong Duy,IM,VN,https://images.chesscomfiles.com/uploads/v1/user/44760408.7e2bb432.200x200o.32acd45c00e9.jpg,1544,1522318251,premium,False,False,12424722,,79  37,VI,E M,,,,,,,chess.com
49,26867272,jospem,Jose Martinez,GM,MX,https://images.chesscomfiles.com/uploads/v1/user/26867272.0496c4fd.200x200o.89ccc5145ecc.jpg,33320,1456152005,premium,True,False,,,,,,,,,,,,chess.com
50,49788594,pursuitofhappyness2,Abhimanyu Mishra,GM,US,https://images.chesscomfiles.com/uploads/v1/user/49788594.25ff3d86.200x200o.4a9380e9fd18.png,1434,1537055670,premium,False,False,,,,,,,,,,,,chess.com
51,28417564,lachesisq,Ian Nepomniachtchi,GM,RU,https://images.chesscomfiles.com/uploads/v1/user/28417564.288cde61.200x200o.d3c0bb1c1afd.jpg,16395,1464600099,premium,True,False,,,,,,,,,,,,chess.com
52,6083387,manudavid2910,Manu David,FM,IN,https://images.chesscomfiles.com/uploads/v1/user/6083387.7db47bc1.200x200o.0634c485076c.jpg,18376,1320689006,premium,False,False,,,,,,,,,,,,chess.com
