player_id,modalidade,data_referencia,rating_atual,rating_melhor,data_rating_melhor,vitorias,derrotas,empates
429108043,bullet,2026-01-19,3118,3238.0,2025-10-11,1071,541,92
39098776,rapid,2026-01-19,2630,2698.0,2022-02-12,69,43,35
39098776,blitz,2026-01-19,3204,3204.0,2026-01-16,2444,1320,414
39098776,bullet,2026-01-19,3080,3207.0,2025-12-13,13882,10214,1491
11177810,rapid,2026-01-19,2797,3045.0,2019-08-31,198,83,150
11177810,blitz,2026-01-19,3202,3246.0,2025-05-27,2763,803,491
11177810,bullet,2026-01-19,3117,3219.0,2025-10-30,1009,341,106
294649525,blitz,2026-01-19,3200,3200.0,2026-01-05,1644,1261,424
294649525,bullet,2026-01-19,3024,3094.0,2026-01-14,219,147,30
61085366,rapid,2026-01-19,2667,2724.0,2023-09-18,88,44,51
61085366,blitz,2026-01-19,3196,3201.0,2025-11-17,1892,1100,520
61085366,bullet,2026-01-19,3050,3218.0,2023-06-14,6082,4486,786
12709942,rapid,2026-01-19,2735,2840.0,2023-07-11,174,146,97
12709942,blitz,2026-01-19,3196,3205.0,2025-12-23,2167,1351,519
12709942,bullet,2026-01-19,3048,3141.0,2024-08-16,1015,797,143
43194690,rapid,2026-01-19,2725,2820.0,2024-05-12,117,59,63
43194690,blitz,2026-01-19,3194,3280.0,2025-07-10,3895,3108,1068
43194690,bullet,2026-01-19,3065,3120.0,2024-03-23,1745,1818,276
26897358,rapid,2026-01-19,2691,2837.0,2020-08-21,137,93,163
26897358,blitz,2026-01-19,3190,3225.0,2025-12-16,1668,737,637
26897358,bullet,2026-01-19,3096,3310.0,2020-10-04,731,494,232
32230490,rapid,2026-01-19,2631,2714.0,2022-05-08,109,93,85
32230490,blitz,2026-01-19,3188,3275.0,2025-10-28,4887,3602,1011
32230490,bullet,2026-01-19,3103,3315.0,2025-08-28,4610,4286,643
492781159,blitz,2026-01-19,3184,3196.0,2025-11-17,221,150,54
492781159,bullet,2026-01-19,2563,2568.0,2025-11-17,3,1,2
69192934,rapid,2026-01-19,2606,2975.0,2022-02-12,187,123,164
69192934,blitz,2026-01-19,3181,3197.0,2026-01-16,9556,5248,3547
69192934,bullet,2026-01-19,3142,3222.0,2025-12-06,2986,1088,477
26897402,rapid,2026-01-19,2808,2939.0,2022-02-26,167,80,133
26897402,blitz,2026-01-19,3179,3186.0,2026-01-06,409,175,122
26897402,bullet,2026-01-19,3057,3191.0,2020-11-11,86,105,36
21232844,rapid,2026-01-19,2641,2692.0,2020-05-30,306,82,113
21232844,blitz,2026-01-19,3178,3226.0,2025-12-18,10426,4864,1950
21232844,bullet,2026-01-19,3145,3189.0,2025-12-27,12198,4486,1190
20718020,rapid,2026-01-19,2802,2829.0,2023-02-23,168,76,84
20718020,blitz,2026-01-19,3177,3244.0,2025-09-28,4874,3011,1052
20718020,bullet,2026-01-19,3141,3244.0,2024-07-13,9014,5993,1269
137706882,rapid,2026-01-19,2686,2759.0,2023-02-22,90,45,76
137706882,blitz,2026-01-19,3174,3184.0,2026-01-05,1151,592,313
137706882,bullet,2026-01-19,3025,3173.0,2023-06-26,613,304,69
27168196,rapid,2026-01-19,2650,2706.0,2023-02-06,51,40,22
27168196,blitz,2026-01-19,3172,3225.0,2025-10-14,5925,4638,1124
27168196,bullet,2026-01-19,3046,3152.0,2024-05-24,2117,1386,199
16938404,rapid,2026-01-19,2708,2730.0,2024-09-26,161,76,93
16938404,blitz,2026-01-19,3172,3243.0,2025-11-25,11869,6599,2372
16938404,bullet,2026-01-19,3194,3357.0,2020-12-11,20000,16213,2937
10767030,rapid,2026-01-19,2735,2878.0,2020-08-15,145,72,90
10767030,blitz,2026-01-19,3171,3219.0,2025-10-12,2188,1368,459
10767030,bullet,2026-01-19,2910,3144.0,2020-09-20,885,765,113
39249762,rapid,2026-01-19,2591,2594.0,2025-07-25,34,18,24
39249762,blitz,2026-01-19,3167,3167.0,2025-12-15,1071,577,159
39249762,bullet,2026-01-19,2968,2926.0,2025-01-18,140,52,7
80994690,rapid,2026-01-19,2341,2346.0,2023-06-19,33,34,8
80994690,blitz,2026-01-19,3166,3217.0,2025-10-17,7007,5352,1061
80994690,bullet,2026-01-19,3055,3151.0,2025-06-21,3165,1894,310
30887540,rapid,2026-01-19,2654,2919.0,2020-11-29,107,69,90
30887540,blitz,2026-01-19,3162,3221.0,2025-12-30,8266,4603,2450
30887540,bullet,2026-01-19,2952,3002.0,2025-02-02,759,554,75
49788594,rapid,2026-01-19,2602,2717.0,2023-02-22,16,15,25
49788594,blitz,2026-01-19,3158,3210.0,2025-11-10,817,528,191
49788594,bullet,2026-01-19,3156,3203.0,2025-06-12,1151,834,130
44760408,rapid,2026-01-19,2437,2449.0,2021-08-11,561,430,83
44760408,blitz,2026-01-19,3155,3190.0,2025-10-07,2335,1739,405
44760408,bullet,2026-01-19,3204,3204.0,2026-01-06,1564,970,179
55544800,rapid,2026-01-19,2634,2696.0,2020-08-23,164,99,92
55544800,blitz,2026-01-19,3148,3152.0,2026-01-19,3032,1868,719
55544800,bullet,2026-01-19,3051,3051.0,2026-01-14,659,379,89
28417564,rapid,2026-01-19,2810,2908.0,2020-08-29,130,63,111
28417564,blitz,2026-01-19,3145,3287.0,2025-10-18,4423,2234,1061
28417564,bullet,2026-01-19,3088,3168.0,2020-10-04,270,211,67
30836974,rapid,2026-01-19,2476,2730.0,2020-08-21,84,115,39
30836974,blitz,2026-01-19,3144,3144.0,2026-01-13,5077,3875,850
30836974,bullet,2026-01-19,2977,3029.0,2026-01-13,3351,2728,377
6083387,rapid,2026-01-19,2966,2966.0,2024-01-09,57,14,3
6083387,blitz,2026-01-19,3110,3110.0,2025-12-02,5993,7269,1150
6083387,bullet,2026-01-19,3149,3250.0,2025-08-31,22810,17053,2164
26824392,rapid,2026-01-19,2937,2944.0,2023-11-28,111,1,1
26824392,blitz,2026-01-19,2514,2514.0,2022-02-19,98,17,6
26824392,bullet,2026-01-19,2312,2324.0,2025-07-21,33,4,2
57549096,rapid,2026-01-19,2884,2908.0,2020-09-11,109,6,13
57549096,blitz,2026-01-19,3007,3067.0,2026-01-10,2130,1225,327
57549096,bullet,2026-01-19,3003,3113.0,2025-09-08,2407,1468,218
11650164,rapid,2026-01-19,2817,2817.0,2026-01-15,210,39,22
11650164,blitz,2026-01-19,3050,3125.0,2025-10-22,7947,5404,1587
11650164,bullet,2026-01-19,2905,2971.0,2020-11-03,390,285,53
